specObjID,z,ra,dec,type,dered_u,dered_g,dered_r,dered_i,dered_z
11790444577185617920,0.0005576863,162.29175,31.273538,null,null,null,null,null,null
11796159288485107712,0.7887911,162.29612,31.260804,3,22.71602,23.13676,22.02419,21.22931,20.94654
11796159838240921600,0.792253,162.31894,31.263508,3,22.2056,21.90808,21.22689,20.54607,20.38747
12818570143757260800,1.468554,162.34289,31.281914,6,20.71417,20.68879,20.60911,20.41612,20.3017
12818558049129355264,0.8378053,162.34515,31.256477,6,21.99311,21.65929,21.33986,20.78373,20.61472
12818570693513074688,1.193519,162.35019,31.349492,3,24.70523,23.20388,22.50786,20.76267,19.69412
2230534217391958016,0.1063291,162.35582,31.229471,3,19.08208,17.83248,17.25887,16.90934,16.72138
2281140343732725760,0.1063386,162.35582,31.229471,3,19.08208,17.83248,17.25887,16.90934,16.72138
7256593781440665600,0.04267428,162.36262,31.316175,null,null,null,null,null,null
12818570418635167744,0.7880585,162.36558,31.239138,3,25.54303,24.02788,21.84142,20.40095,19.55358
12818568769367726080,1.295927,162.37737,31.265445,3,25.7767,22.99316,21.23661,20.22853,19.57042
12818569044245633024,2.494284E-05,162.37833,31.220051,6,23.09631,22.36679,20.98992,20.04514,19.68881
11796160387996735488,0.1149627,162.38188,31.278042,3,24.56497,22.36474,21.56704,20.9207,21.49146
11790445126941431808,0.77834,162.39363,31.280052,3,21.95425,22.72252,22.02607,21.20481,20.28588
2281141168366446592,0.1169383,162.39502,31.319587,3,20.39652,18.47833,17.5621,17.14503,16.78603
11790445676697245696,0.8535796,162.40359,31.341287,3,23.3193,22.62445,22.09756,21.48271,21.45992
11790445401819338752,0.894483,162.4059,31.295139,3,23.52391,22.81258,22.6973,21.48064,21.31344
7256592956806944768,0.5209327,162.40811,31.316442,3,23.62834,21.80711,20.49895,19.48021,19.02687
7256591307539503104,0.7167662,162.42287,31.247104,3,22.3816,22.6513,21.09264,20.02703,19.53285
11796150492392085504,0.7940489,162.42974,31.336521,3,22.92773,22.61106,22.09168,21.69122,21.25392
