specObjID,z,class,subClass,type,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z
496593358513268736,-0.0001887047,STAR,F5,6,123.26668,46.904256,19.31151,18.35973,18.04029,17.91837,17.8683
496593633391175680,-0.0001651981,STAR,A0,6,124.05841,45.498546,17.83034,16.89927,16.67825,16.60058,16.60614
496594183146989568,-0.0006009107,STAR,F2,6,123.72872,46.023838,19.40666,18.33754,17.91442,17.7571,17.68758
496597756559779840,0.000176794,STAR,F9,6,123.95175,46.027744,18.0103,16.36528,15.81427,15.61739,15.51457
496601055094663168,-7.362553E-05,STAR,K7,6,122.82598,46.430726,22.97797,20.52416,19.12949,18.68112,18.34222
496602154606290944,3.498173E-05,STAR,K3,6,123.25538,46.306853,19.73866,17.58858,15.95537,16.50305,16.19241
496604078751639552,7.949008E-05,STAR,M0V,6,122.88603,46.911137,23.91787,21.65581,19.78648,18.88989,18.37935
496607652164429824,0.0002733525,STAR,M5,6,123.57399,46.18138,23.28991,22.56979,20.8974,18.90091,17.80127
496607927042336768,-0.0002471562,STAR,F9,6,123.71716,45.690876,19.63886,18.34613,17.844,17.65264,17.54847
496609026553964544,1.569549E-05,STAR,M2,6,123.34105,46.147689,23.81426,21.37526,19.91525,19.04813,18.5061
496610400943499264,-3.624082E-05,STAR,K1,6,123.71029,47.058476,17.75816,16.12557,16.21974,15.18167,14.98949
496611500455127040,-0.000394421,STAR,F5,6,124.0045,47.156103,17.02578,16.07749,15.79004,15.63194,15.59752
496612599966754816,0.0001341983,STAR,F5,6,123.17083,47.143233,17.4025,16.38871,16.08958,15.99787,15.9866
496613149722568704,-4.105579E-05,STAR,K7,6,123.87885,47.051522,21.94341,19.68702,18.52765,18.10012,17.764
496615348745824256,-6.325203E-05,STAR,A0,6,123.55494,47.282897,19.85945,18.68376,18.59982,18.61601,18.73776
496615623623731200,7.916737E-05,STAR,F5,6,123.32869,47.6045,17.69512,16.73242,16.48873,16.38968,16.41092
496615898501638144,7.194132E-05,STAR,G2,6,123.57196,47.899161,18.45646,17.30793,16.95625,16.82803,16.80788
496616173379545088,0.0002622727,STAR,A0,6,123.3554,47.756971,16.33952,15.1773,15.2806,15.34945,15.43682
496616448257452032,0.0001592595,STAR,M5,6,123.98458,48.000038,25.72791,21.78374,20.28126,18.38675,17.33776
496616723135358976,4.072306E-05,STAR,M7,6,123.48676,47.616214,24.60987,23.7235,21.33671,19.09713,17.73475
496617822646986752,2.333346E-05,STAR,M6,6,123.45029,47.676043,25.70198,22.66207,21.27985,19.30788,18.18362
496627168495822848,4.868425E-05,STAR,M6,6,124.23355,47.708611,25.25248,22.6047,20.96456,18.86192,17.74673
496631016786520064,-7.783883E-05,STAR,A0p,6,124.03296,48.063811,14.67183,14.73762,15.21356,15.5558,15.83549
496632666053961728,-0.0002633328,STAR,M3,6,124.6019,47.299005,20.75265,19.64309,19.15325,18.59254,18.22377
496640362635356160,3.771046E-05,STAR,M8,6,124.54141,47.625444,25.49577,23.92564,22.27742,19.17397,17.67684
496642561658611712,-0.0004703026,STAR,A0,6,124.56195,47.405224,18.78056,17.87028,17.61967,17.50595,17.4685
496657954821400576,-5.561832E-05,STAR,M2,6,125.625,47.279388,24.14814,20.91962,19.29255,18.18765,17.60911
496658504577214464,-2.873775E-05,STAR,F5,6,125.72447,47.294985,15.38734,14.27941,14.03103,13.94135,13.96337
496660428722563072,-5.791634E-05,STAR,M6,6,124.67895,47.38753,24.95776,22.69978,21.14598,19.07598,17.99206
496661253356283904,5.973328E-05,STAR,M6,6,124.80064,47.776851,24.02796,22.36492,20.69576,18.77859,17.70259
496662902623725568,0.0001074701,STAR,M7,6,124.79577,47.827274,24.15744,23.23666,21.34125,19.129,17.84999
496663177501632512,0.002663467,STAR,T2,6,124.82436,48.067484,23.32751,21.25769,20.6258,20.45145,19.96193
